name,category,met_value
Barbell Floor Press,Strength Training,6.0
Machine Chest Press,Strength Training,5.5
Cable Chest Press,Strength Training,5.0
Dumbbell Pullover,Strength Training,5.0
Chest-Supported Row,Strength Training,5.5
Pendlay Row,Strength Training,6.0
Meadows Row,Strength Training,6.0
Landmine Row,Strength Training,5.5
Landmine Press,Strength Training,5.5
Cable Lateral Raise,Strength Training,5.0
Cable Rear Delt Fly,Strength Training,5.0
Zottman Curl,Strength Training,5.0
Spider Curl,Strength Training,5.0
French Press,Strength Training,5.0
JM Press,Strength Training,5.5
Machine Incline Press,Strength Training,5.5
Machine Decline Press,Strength Training,5.5
Dumbbell Squeeze Press,Strength Training,5.0
Cable Pullover,Strength Training,5.0
Reverse Pec Deck,Strength Training,5.0
Stationary Bike – 50 W,Cardio Machines,4.0
Stationary Bike – 60 W,Cardio Machines,5.0
Stationary Bike – 70–80 W,Cardio Machines,5.8
Stationary Bike – 90–100 W,Cardio Machines,6.0
Stationary Bike – 126–150 W,Cardio Machines,8.0
Stationary Bike – 151–199 W,Cardio Machines,10.3
Stationary Bike – 200–229 W,Cardio Machines,10.8
Spin Bike Class,Cardio Machines,9.0
Virtual Indoor Cycling,Cardio Machines,8.8
Low-Impact Aerobics,Cardio Machines,4.8
High-Impact Aerobics,Cardio Machines,8.0
Step Aerobics – 4 inch,Cardio Machines,5.5
Step Aerobics – 6–8 inch,Cardio Machines,7.3
Step Aerobics – 10–12 inch,Cardio Machines,9.0
Bench Step Class,Cardio Machines,7.8
Boxing Punching Bag – Moderate,Cardio Machines,5.8
Boxing Punching Bag – Fast,Cardio Machines,8.5
Ski Ergometer – Moderate,Cardio Machines,10.5
Ski Ergometer – Fast,Cardio Machines,18.0
Unicycling,Cardio Machines,5.0
Shuttle Run,CrossFit / HIIT,11.0
Sprint Intervals,CrossFit / HIIT,12.0
Hill Sprint Intervals,CrossFit / HIIT,12.5
Squat Thrust,CrossFit / HIIT,8.0
Tuck Jump,CrossFit / HIIT,9.0
Skater Jumps,CrossFit / HIIT,8.0
Lateral Bounds,CrossFit / HIIT,8.0
Fast Feet,CrossFit / HIIT,8.0
Speed Skaters,CrossFit / HIIT,8.0
Sprinter Burpee,CrossFit / HIIT,10.0
Plyometric Lunges,CrossFit / HIIT,8.0
Alternating Jump Lunges,CrossFit / HIIT,8.0
Explosive Step Jumps,CrossFit / HIIT,8.0
Inchworm to Push-up,CrossFit / HIIT,7.5
Plank Jack,CrossFit / HIIT,7.5
Sprawl,CrossFit / HIIT,8.0
Seal Jack,CrossFit / HIIT,8.0
Squat Thrust to Jump,CrossFit / HIIT,9.0
Broad Jump Repeats,CrossFit / HIIT,9.0
Lateral Shuffle Sprint,CrossFit / HIIT,10.0
Dumbbell Clean and Press,Full Body,7.5
Kettlebell Clean,Full Body,7.5
Kettlebell Clean and Press,Full Body,8.0
Dumbbell Complex,Full Body,7.5
Barbell Complex,Full Body,7.5
Man Maker,Full Body,8.0
Devil Press,Full Body,10.0
Renegade Row,Full Body,6.5
Sandbag Clean,Full Body,7.5
Sandbag Carry,Full Body,6.5
Sled Drag,Full Body,8.0
Bear Plank Shoulder Tap,Full Body,6.0
Dumbbell Squat to Press,Full Body,7.5
Dumbbell Reverse Lunge to Press,Full Body,7.5
Kettlebell Front Rack Carry,Full Body,6.5
Sandbag Shouldering,Full Body,8.0
Barbell High Pull,Full Body,6.0
Dumbbell High Pull,Full Body,6.0
Kettlebell Dead Clean,Full Body,7.5
Squat to Upright Row,Full Body,7.0
Incline Cable Press,Upper Body,5.0
Decline Cable Press,Upper Body,5.0
Single-Arm Cable Row,Upper Body,5.0
Neutral-Grip Lat Pulldown,Upper Body,5.0
Close-Grip Lat Pulldown,Upper Body,5.0
Wide-Grip Lat Pulldown,Upper Body,5.0
Single-Arm Dumbbell Pulldown,Upper Body,5.0
Seal Row,Upper Body,5.5
Inverted Row,Upper Body,6.0
Cable High Row,Upper Body,5.0
Single-Arm Machine Row,Upper Body,5.0
Cable Y-Raise,Upper Body,4.5
Cable Front Raise,Upper Body,5.0
Reverse Cable Fly,Upper Body,5.0
Bayesian Curl,Upper Body,5.0
Dumbbell Tate Press,Upper Body,5.0
